identifier	accession	name	accession_group	origin	description	assFile
58-161	SoyL04	Liu, Du et al., 2020	58-161	China, Jiang Su	Landrace 58-161 (SoyL04 from China, Jiang Su, from Liu et al. 2020	assemblies/glyma.58-161.gnm1.BW8J.genome_main.fna.gz
Amsoy	SoyC05	Liu, Du et al., 2020	Amsoy	United States, Iowa	Cultivar Amsoy (SoyC05 from United States, Iowa, from Liu et al. 2020	assemblies/glyma.Amsoy.gnm1.TYYG.genome_main.fna.gz
DongNongNo_50	SoyC12	Liu, Du et al., 2020	Dong Nong No.50	China, Hei Long Jiang	Cultivar Dong Nong No.50 (SoyC12 from China, Hei Long Jiang, from Liu et al. 2020	assemblies/glyma.DongNongNo_50.gnm1.XRTN.genome_main.fna.gz
FengDiHuang	SoyL07	Liu, Du et al., 2020	Feng Di Huang	China, Ji Lin	Landrace Feng Di Huang (SoyL07 from China, Ji Lin, from Liu et al. 2020	assemblies/glyma.FengDiHuang.gnm1.YYLM.genome_main.fna.gz
HanDouNo_5	SoyC09	Liu, Du et al., 2020	Han Dou No.5	China, He Bei	Cultivar Han Dou No.5 (SoyC09 from China, He Bei, from Liu et al. 2020	assemblies/glyma.HanDouNo_5.gnm1.11MF.genome_main.fna.gz
HeiHeNo_43	SoyC13	Liu, Du et al., 2020	Hei He No.43	China, Hei Long Jiang	Cultivar Hei He No.43  (SoyC13 from China, Hei Long Jiang, from Liu et al. 2020	assemblies/glyma.HeiHeNo_43.gnm1.FV4H.genome_main.fna.gz
JiDouNo_17	SoyC11	Liu, Du et al., 2020	Ji Dou No.17	China, He Bei	Cultivar Ji Dou No.17 (SoyC11 from China, He Bei, from Liu et al. 2020	assemblies/glyma.JiDouNo_17.gnm1.MRYM.genome_main.fna.gz
JinDouNo_23	SoyC07	Liu, Du et al., 2020	Jin Dou No.23	China, Shan Xi	Cultivar Jin Dou No.23 (SoyC07 from China, Shan Xi, from Liu et al. 2020	assemblies/glyma.JinDouNo_23.gnm1.GBYD.genome_main.fna.gz
JuXuanNo_23	SoyC03	Liu, Du et al., 2020	Ju Xuan No.23	China, Shan Dong	Cultivar Ju Xuan No.23 (SoyC03 from China, Shan Dong, from Liu et al. 2020	assemblies/glyma.JuXuanNo_23.gnm1.WC57.genome_main.fna.gz
KeShanNo_1	SoyC14	Liu, Du et al., 2020	Ke Shan No.1	China, Hei Long Jiang	Cultivar Ke Shan No.1 (SoyC14 from China, Hei Long Jiang, from Liu et al. 2020	assemblies/glyma.KeShanNo_1.gnm1.3TDD.genome_main.fna.gz
PI_398296	SoyL05	Liu, Du et al., 2020	PI 398296	South Korea, Kyonggi	Landrace PI 398296 (SoyL05 from South Korea, Kyonggi, from Liu et al. 2020	assemblies/glyma.PI_398296.gnm1.D07C.genome_main.fna.gz
PI_548362	SoyC10	Liu, Du et al., 2020	PI 548362	United States, Illinois	Cultivar PI 548362 (SoyC10 from United States, Illinois, from Liu et al. 2020	assemblies/glyma.PI_548362.gnm1.V9S7.genome_main.fna.gz
QiHuangNo_34	SoyC08	Liu, Du et al., 2020	Qi Huang No.34	China, Shan Dong	Cultivar Qi Huang No.34 (SoyC08 from China, Shan Dong, from Liu et al. 2020	assemblies/glyma.QiHuangNo_34.gnm1.MB9G.genome_main.fna.gz
ShiShengChangYe	SoyL09	Liu, Du et al., 2020	Shi Sheng Chang Ye	Japan, Hokkaido	Landrace Shi Sheng Chang Ye (SoyL09 from Japan, Hokkaido, from Liu et al. 2020	assemblies/glyma.ShiShengChangYe.gnm1.MC01.genome_main.fna.gz
TieFengNo_18	SoyC02	Liu, Du et al., 2020	Tie Feng No.18	China, Hei Long Jiang	Cultivar Tie Feng No.18 (SoyC02 from China, Hei Long Jiang, from Liu et al. 2020	assemblies/glyma.TieFengNo_18.gnm1.BW65.genome_main.fna.gz
TieJiaSiLiHuang	SoyL08	Liu, Du et al., 2020	Tie Jia Si Li Huang	China, Ji Lin	Landrace Tie Jia Si Li Huang (SoyL08 from China, Ji Lin, from Liu et al. 2020	assemblies/glyma.TieJiaSiLiHuang.gnm1.W9PV.genome_main.fna.gz
TongShanTianEDan	SoyL03	Liu, Du et al., 2020	Tong Shan Tian E Dan	China, Jiang Su	Landrace Tong Shan Tian E Dan (SoyL03 from China, Jiang Su, from Liu et al. 2020	assemblies/glyma.TongShanTianEDan.gnm1.B4R6.genome_main.fna.gz
WanDouNo_28	SoyC04	Liu, Du et al., 2020	Wan Dou No.28	China, An Hui	Cultivar Wan Dou No.28 (SoyC04 from China, An Hui, from Liu et al. 2020	assemblies/glyma.WanDouNo_28.gnm1.ZRP2.genome_main.fna.gz
XuDouNo_1	SoyC01	Liu, Du et al., 2020	Xu Dou No.1	China, Jiang Su	Cultivar Xu Dou No.1 (SoyC01 from China, Jiang Su, from Liu et al. 2020	assemblies/glyma.XuDouNo_1.gnm1.0GWH.genome_main.fna.gz
YuDouNo_22	SoyC06	Liu, Du et al., 2020	Yu Dou No.22	China, He Nan	Cultivar Yu Dou No.22 (SoyC06 from China, He Nan, from Liu et al. 2020	assemblies/glyma.YuDouNo_22.gnm1.T2VD.genome_main.fna.gz
ZhangChunManCangJin	SoyL06	Liu, Du et al., 2020	Chang Chun Man Cang Jin	China, Ji Lin	Landrace Chang Chun Man Cang Jin (SoyL06 from China, Ji Lin, from Liu et al. 2020	assemblies/glyma.ZhangChunManCangJin.gnm1.FC4Q.genome_main.fna.gz
Zhutwinning2	SoyL01	Liu, Du et al., 2020	Zhutwinning2	China	Landrace Zhutwinning2 (SoyL01 from China, from Liu et al. 2020	assemblies/glyma.Zhutwinning2.gnm1.GR6N.genome_main.fna.gz
ZiHuaNo_4	SoyL02	Liu, Du et al., 2020	Zi Hua No.4	China, Hei Long Jiang	Landrace Zi Hua No.4 (SoyL02 from China, Hei Long Jiang, from Liu et al. 2020	assemblies/glyma.ZiHuaNo_4.gnm1.HN60.genome_main.fna.gz
Wm82_NJAU	Wm82_NJAU		Williams 82 Nanjing Agricultural University	Nanjing Agricultural University	Williams 82 sequenced for T2T assembly of Wang, Zhang et al. 2023	assemblies/glyma.Wm82_NJAU.gnm1.N4GV.genome_main.fna.gz
